,title,category,installs,score,description,reviews
com.outthinking.weightlossformen,"Weight Loss Workout for Men, Lose Weight - 30 Days",HEALTH_AND_FITNESS,"1,000+",5.0,"Fast weight loss workout at home for men and women – Home workout apps for men!
This men weight loss app is to lose belly fat at home, It offers Best Abs workout Exercises and short and effective workouts for weight loss, get the body in shape. Just work out at home 07 minutes in a day lose belly fat and keep fitness at home without having to go to the gym No equipment or coach needed, all exercises can be performed with just your body weight.
Workout Plan for men with Different Levels
These workouts for your upper lower and middle abdomen provides daily workout routines,  All these 3 level weight loss workout program suitable for beginners, new to physical activities, experienced. and it helps you lose belly fat and build abdominal muscles step by step.
Workout app for men at home
Every day has Various weight loss workout plan with best exercises to lose weight. This app will help you do many exercise ilke exercises for weight loss, abs exercises, legs and buttocks workout for men, calves exercises, toned body workout, flat stomach workout, etc
Fat Burning Workouts & Hiit Workouts
Start your journey back to fitness! If you want to get rid of belly fat or looking for fat loss exercise for man these exercises helps you to lose belly fat Tighten your abdominal muscles, burn your belly fat faster than ever before.
Abs Workouts faster way to lose belly fat
All Men want a toned, flat stomach with six pack, This advanced Abs workout involves full-body movement with core stabilization exercises such as Plank Exercises which burns additional calories by adding movement.
Belly fat burning workouts
Core workout for men
Men Home workout
Exercise for Men and core workout
Fat burning workouts for men
Hiit workouts for men
men's morning workout at home
mens fitness
Lose Belly Fat,
Six pack in 30 days
Abs Workout Lose Belly fat
7 min abs workout free
Six pack exercise at home
Flat stomach workout plan
Quick ab workout for guys
Abs muscle workout
Diet for abs men
Six pack tips
Weight loss app
No equipment or coach needed
This weight loss exercise app for men ranked as #1, App teaches exactly how to make the necessary changes in your diet and your lifestyle, If really men want to lose weight, Download this weight loss app include an exercise in daily routine",[]
com.ovulationcalendar.fertility.periodtracker,"Period Tracker, Pregnancy Calculator & Calendar 🌸",HEALTH_AND_FITNESS,"10,000+",5.0,"Welcome to my days period and ovulation application. My days period tracker with pregnancy calendar and tracker application helps to track my period and ovulation menstrual cycle effectively. My period tracker calendar app also help pregnancy tracker & baby development countdown.
We believe that you will love my cycles period and ovulation app from the very first moment of use because of its many useful features. Let's explore my ovulation calculator & calendar with baby tracker application!
Useful features in my menstrual diary app:
1. Period tracker for women, tweens and teenage girls
- Period ovulation and pregnancy tracker
- Predict when is my next period
- Edit menstruation and ovulation calendar: change the length of the cycle, add notes for each day of period calendar for girls
- Ovulation tracker get pregnant free
- Analyze the symptoms, mood ... with useful health insights
2. Pregnancy mode
- Countdown the birth of the baby
- Update daily useful information about the development of children
- Track weight, nutrition, and some other parameters
3. Graph
- Analyze cycle and cycle length
- Chart of weight, sleep, water intake
- Activity graph throughout the cycle
4. Period tracker with reminder
- Cycle reminders
- Reminders for medication and contraception
- Remind to drink water, log weight, log temperature, sleep so that my menstrual cycle calendar application can easily monitor your health.
5. Privacy protection
- To protect the secret of the girls, my period calculator and diary  application integrates security features to protect privacy
- Set a password that only you can use my days period and ovulation for pregnancy application
Why should you download my ovulation days app?
◾ The baby countdown to due date and period calculator app fully integrates the necessary functions for pregnancy and gender prediction with fertility period and ovulation tracker
◾ Monitor the cycle and ovulation day correctly
◾ Diverse symptoms and moods help to describe in detail your condition in the cycle
◾ Convenient woman diary
◾ Useful health insights
◾ Protect your privacy with a password
◾ User-friendly interface of pregnancy countdown timer and fertility tracker to get pregnant app, easy to use period and ovulation tracker for irregular periods
◾ Small ovulation app for free to help get pregnant and menstrual cycle tracker capacity, fast loading
◾ Free menstruation cycle monitor tracker with pregnancy calculator and calendar
No more fear of that day suddenly comes thanks to our life period tracker health calendar ovulation app. Whether you want to get pregnant or not, the period calendar tracker for pregnancy and safe period calculator to avoid pregnancy app can help you easily. All you have to do is download the menstrual period tracker and ovulation calendar app, set up your period calendar and chance of pregnancy and we will help you the rest.
Download the menstrual cycle and ovulation calendar app and experience now!
If you have any questions about the app to keep track of your menstrual cycle, please leave a comment below. Do not forget to rate 5* calendar for women's menstrual cycle app to support our efforts!",[]
com.pacer.tech.pedometer,pedometer,HEALTH_AND_FITNESS,"1,000+",3.6,"this pedometer uses the built-in sensor to count your every step accurately. no gps required, so it can optimize battery life. it tracks your burned calories, walking distance and time etc. all the information will be clearly displayed in graph section.
you can set your daily step goals. you can check your streak statistics from menu chart to stay motivated.
save power:
this pedometer uses the built-in sensor to count your every steps. no gps required, so it hardly consumes battery power and increase battery life.
easy-to-use:
just tap the start button, and it will starts counting your steps. whether your phone is in your hand, bag, pocket or armband doesn’t matter, it can auto-record your every steps even your screen is locked.
100% private:
no sign-in required. we never collect your personal data or share your information with other parties.
start, pause and reset:
you can pause and start step counting at any time you want to save power. the pedometer will stop background-refreshing statistics once you pause it. and you can reset today’s step count and count step from 0 if you want to do.
training Mode:
you can avail a separate walking training session anytime you want, such as a 30-minute walking exercise after meal. in the training mode, we provide a function to individually record your active time, distance and burned calories of your walking training.
Report Graphs:
the report graphs are the most innovative ever, they are particularly designed for smart-phone devices to help you track your walking stats. you can check your daily, weekly and monthly statistics in graphs.
important note
● to guarantee the accuracy of step counting, please input your right information in settings, because it will be used to calculate your walking distance and burned calories.
● to adjust sensitivity to make pedometer count steps more perfectly.
● step counting is not available for devices with older versions when their screen is locked. It's not a bug. We are really sorry to say that we are not able to solve this issue.
looking for a correct pedometer step counter? does your pedometer use too much power? our pedometer calories is the most accurate one you can find and is also a battery saving pedometer. get our pedometer now!
locked features:
purchase our premium version to remove ads, more accuracy and backup.
thank you!",[]
com.playjeunesse.app,Play Jeunesse,HEALTH_AND_FITNESS,"1,000+",5.0,"PLAY JEUNESSE is an amazing tool that reproduces automatically a High Definition video by taking a picture of any Jeunesse product, it's as simple as that!
This App also works together with the “We Live Jeunesse Magazine”, where you can scan any camera icon on the magazine and you will see all the videos we've prepared for you.
PLAY JEUNESSE has been developed to help you present the entire Y.E.S. System, the business opportunity and the Jeunesse lifestyle to your prospects and friends.",[]
com.powerspeedendurance.android.app,Power Speed Endurance,HEALTH_AND_FITNESS,100+,4.3,"The Power Speed Endurance App.
Access your PSE PRO online training plans through the official PSE PRO App.
This app is an extension of the Power Speed Endurance - PSE PRO online training platform.
Access your daily training, the PSE video library, the Power Speed Endurance blog, a customized PSE breathing protocol timer and comment on the PSE PRO daily training through the PSE app interface.
The Power Speed Endurance app is designed to optimize the user experience for all PSE PRO members.",[]
com.pushoflove.app,Push of Love,HEALTH_AND_FITNESS,50+,,"Us over here at Push of Love, have come to the conclusion that this world is a horrible, horrible, terrible nightmare of a place.
And one day, when we were in the middle of our constant, persistent struggle to just make it through the day, a light bulb went off and we thought, ""wouldn't it be great if there was an app that sent you inspirational messages in those times of great despair?!"".
Introducing Push of Love, an app that sends you just a little bit of love when you are about to just give up!",[]
com.rnamobile.if,Intermittent Fasting,HEALTH_AND_FITNESS,10+,5.0,"Intermittent fasting is an eating pattern where you cycle between periods of eating and fasting.
It does not say anything about which foods to eat, but rather when you should eat them.
There are several different intermittent fasting methods, all of which split the day or week into eating periods and fasting periods.
Most people already ""fast"" every day, while they sleep. Intermittent fasting can be as simple as extending that fast a little longer.
You can do this by skipping breakfast, eating your first meal at noon and your last meal at 8 pm.
Then you're technically fasting for 16 hours every day, and restricting your eating to an 8-hour eating window. This is the most popular form of intermittent fasting, known as the 16/8 method.
Despite what you may think, intermittent fasting is actually fairly easy to do. Many people report feeling better and having more energy during a fast.
Hunger is usually not that big of an issue, although it can be a problem in the beginning, while your body is getting used to not eating for extended periods of time.
No food is allowed during the fasting period, but you can drink water, coffee, tea and other non-caloric beverages.
Some forms of intermittent fasting allow small amounts of low-calorie foods during the fasting period.
Taking supplements is generally allowed while fasting, as long as there are no calories in them.
More Feature;
# Intermittent Fasting the ultimate guide
# What is Intermittent Fasting
# Intermittent Fasting Methods
# How it affects your cells and hormones
# A very powerful weight loss tool
# Health Benefits Intermittent Fasting
# Makes your healthy lifestyle simpler
# Who should be careful or avoid it ??
# Safety and side effects
# FAQ
# Getting started intermittent
# Should you try it??
# 6 Intermittent Fasting Tips
# Meal Plan Ideas For Intermittent Fasting (Fast Meal 10 days)
# B MI Calculator
# Goal Tracker
# Calorie Calculator
# Apps Info
Feedback:-
If you have any suggested features or improvement, please leave a comment. In case something is not working correctly please let me know. When posting low rating please describe what is wrong to give the possibility to fix that issue.
Ads--
There are ads in this app. Images for this app are stored on the internet and this costs money. application is free, it does not promote paid version of this app, the only way to support future development is to include ads. Please treat that with understanding.",[]
com.rnamobile.lcarb,Low Carb Diet Plan Beginner,HEALTH_AND_FITNESS,10+,5.0,"A low-carb diet means that you eat fewer carbohydrates and a higher proportion of fat. This can also be called a low-carb, high-fat diet (LCHF) or a keto diet.
For decades we’ve been told that fat is detrimental to our health. Meanwhile low-fat “diet” products, often full of sugar, have flooded supermarket shelves. This has been a major mistake, that coincided with the start of the obesity epidemic.
Studies now show that there’s no reason to fear natural fats. Fat is your friend (here’s why). On a low-carb diet, you instead minimize your intake of sugar and starches. You can eat other delicious foods until you are satisfied – and still lose weight.
How does it work? When you avoid sugar and starches, your blood sugar stabilizes and the levels of the fat-storing hormone insulin drop. This increases fat burning and makes you feel more satiated, reducing food intake and causing weight loss.
Learn more about low carb and how to use it for your personal goals here in this free App!!!
Features of Low Carb Diet Plan:
* The Low Carb Diet: A Detailed Beginner's Guide
* Is the LCHF Diet the Same as the Ketogenic Diet or Atkins Diet?
* The LCHF Diet Can help you lose weight
* The LCHF Diet May Benefit a number of Health Conditions
* Foods to Avoid
* Foods To Eat
* How Does the Low Carb Diet Work?
* Why would i want to do Low-Carbohydrate Diet??
* How Many Carbs i need to eat per day??
* Common Misconceptions about Low-Carb Diet!!
* Low Carb Diets Lead to state known as ketosis, which causes harm!!
* All of the weight loss on Low Carb Diets is Water Weight!!
* Side Effects and Downfalls of the diet
* Good Carbohydrates verses Bad Carbohydrates??
* The Low Carb Meal Plan 7 Day
* BMI Calculator
* Goal Tracker
* Calories Calculator
* Apps info
Feedback:-
If you have any suggested features or improvement, please leave a comment. In case something is not working correctly please let me know. When posting low rating please describe what is wrong to give the possibility to fix that issue.
Ads--
There are ads in this app. Images for this app are stored on the internet and this costs money. application is free, it does not promote paid version of this app, the only way to support future development is to include ads. Please treat that with understanding.",[]
com.rnamobile.lfodmap,Low Fodmap Diet,HEALTH_AND_FITNESS,100+,5.0,"After creating a highly successful form of fructose malabsorption diet in 1999 in her private dietetic practice, Sue Shepherd went on to become a member of the research team which developed the Low FODMAP Diet. Her PhD research and other studies she was involved in proved that FODMAPs could trigger symptoms of IBS, and in turn, limiting dietary FODMAPs is an effective treatment for people with symptoms of IBS in susceptible people. The low FODMAP diet has been published in international medical journals and is now accepted and recommended as one of the most effective dietary therapies for IBS. Abstracts of these articles are available in the links section of this website.
FODMAPs are found in the foods we eat. FODMAPs is an acronym (abbreviation) referring to Fermentable Oligosaccharides, Disaccharides, Monosaccharides and Polyols. These are complex names for a collection of molecules found in food, that can be poorly absorbed by some people. When the molecules are poorly absorbed in the small intestine of the digestive tract, these molecules then continue along their journey along the digestive tract, arriving at the large intestine, where they act as a food source to the bacteria that live there normally. The bacteria then digest/ferment these FODMAPs and can cause symptoms of Irritable Bowel Syndrome (IBS). Symptoms of Irritable Bowel Syndrome include abdominal bloating and distension, excess wind (flatulence), abdominal pain, nausea, changes in bowel habits (diarrhoea, constipation, or a combination of both), and other gastro-intestinal symptoms.
More Feature;
# A beginner guide
# What are Fodmap's
# Benefits Low Fodmap
# Who should follow
# How to follow
# Three things
# A Low Fodmap Diet
# Can Vegetarians follow
# A sample shopping list
# Low Fodmap Meal Plan 7 day
# What if symptoms
# Goal tracker
# BMI Calculator
# Calorie Calculator
# Apps Info
Feedback:-
If you have any suggested features or improvement, please leave a comment. In case something is not working correctly please let me know. When posting low rating please describe what is wrong to give the possibility to fix that issue.
Ads--
There are ads in this app. Images for this app are stored on the internet and this costs money. application is free, it does not promote paid version of this app, the only way to support future development is to include ads. Please treat that with understanding.",[]
com.rnamobile.whole30,Whole30 Diet,HEALTH_AND_FITNESS,10+,,"Certain food groups (like sugar, grains, dairy and legumes) could be having a negative impact on your health and fitness without you even realizing it. Are your energy levels inconsistent or non-existent? Do you have aches and pains that can’t be explained by over-use or injury? Are you having a hard time losing weight no matter how hard you try? Do you have some sort of condition, like skin issues, digestive ailments, seasonal allergies, or chronic pain, that medication hasn’t helped? These symptoms are often directly related to the foods you eat—even the “healthy” stuff. So how do you know if (and how) these foods are affecting you?
Strip them from your diet completely. Eliminate the most common craving-inducing, blood sugar disrupting, gut-damaging, inflammatory food groups for a full 30 days. Let your body heal and recover from whatever effects those foods may be causing. Push the reset button with your health, habits, and relationship with food, and the downstream physical and psychological effects of the food choices you’ve been making. Learn how the foods you’ve been eating are actually affecting your day-to-day life, long term health, body composition, and feelings around food.
This will change your life.
More Feature;
# About Whole30 Diet
# Proposed Benefits of Whole30
# Foods to eat / Avoid
# How to follow the Whole30 Diet
# A few additional rules
# Life after Whole30
# Whole30 snack ideas
# Potential negative effects
# Should you try Whole30
# Meal Plan Whole30 (7 Day)
# BMI Calculator
# Goal Tracker
# Calorie Calculator
# Apps info
Feedback:-
If you have any suggested features or improvement, please leave a comment. In case something is not working correctly please let me know. When posting low rating please describe what is wrong to give the possibility to fix that issue.
Ads--
There are ads in this app. Images for this app are stored on the internet and this costs money. application is free, it does not promote paid version of this app, the only way to support future development is to include ads. Please treat that with understanding.
Download for free now!!!!",[]
com.run.workout.music,Hit Your Run - Workout Music,HEALTH_AND_FITNESS,50+,5.0,"Hit Your Run - Workout Music is designed for people who loves workout and want to lose weight and keep healthy, it provides energetic music  and with these music you can increase your workout motivation. Let’s music drive you.
Music is a great source of motivation because it releases extra dopamine into your brain during your workout. We classify music by BPM(Bit Per Minute) which you can choose to fit your running pace. Workout music helps you staying in rhythm and drive you to breathe evenly.
Features for Hit Your Run - Workout Music
lHigh quality workout music, popular workout music in 2018
lDifferent BPM that syncs with running speed
lVarious music genre. Pop, Rock, Hip-hop, R&B and much more
lSmart, simple and beautiful design
Get Hit Your Run - Workout Music now and start enjoying the best music for Training, fitness and bodybuilding! We hope that we could help you with this app and that you liked We hope that we could help you with this app and that you liked Hit Your Run - Workout Music. We would greatly appreciate if you could give our app a positive review. Thanks for using!",[]
com.shahidakhtar5008.Naturally_Grow_Penis,Penis Growth Guide,HEALTH_AND_FITNESS,100+,5.0,"Hello Friends this app is made for those Persons who are suffering from Penis problems.
This is a full and detailed guide about different problems of a Penis and how to cure it and
it's natural treatment.
In this guide I will show you how to grow your Penis naturally and effectively, In this guide
there is no use of any kind of medicines and does not have any side effects.
So read the full guide and rate us your review ENJOY.",[]
com.shapezapp.app,Shapez - body progress tracker,HEALTH_AND_FITNESS,50+,5.0,"Whether you want to lose weight or gain muscle, Shapez is here to help you.
You can take a photo in the app or upload an older picture. Track you progress along with weight and measurements.
With Shapez you can:
- Set a weight goal and see the progress
- Set passcode and secure your access to the app
- Set notifications to take a new picture of your body
- Overlap camera with last progress picture
- See weight and measurements in a chart",[]
com.shealths.app,S-Health Tips and Stratigies,HEALTH_AND_FITNESS,500+,4.7,"Guide For samsung health continues to drive health and wellness innovation with enhanced personalization, accessibility and wearable integration
samsung today announced a new version of the S Health app, S-Health 6.0, including updated health and fitness tools, a new UI, and increased personalization to empower users to take greater control of their health on samsung and wellness. Now with over 65 million monthly active users worldwide, S Health’s next iteration delivers a more personalized digital health platform.
Features:
Guide for s health
Tips and stratigies for health on samsung
new and helpful for samsung fans",[]
com.shvagerfm.runapp,Start Run BeStronger,HEALTH_AND_FITNESS,"1,000+",5.0,"We all know that the hardest thing in running is to start run.
If you start immediately with a serious jog, then exhausting training can not only discourage the desire to run, but also lead to unpleasant consequences for health.
There is gradually increasing loading is offered in the app Start running.
In this program it does not matter how many miles you run. For beginners, the time that you can run is more important.
The program is designed for 12 weeks. And after passing you can run for 40 minutes without stopping.
The longest path starts with one step! Start running today!
Application functions:
- 12 levels
- warm-up
- calorie counting
- calculation of statistics
- reminders for the next workout
- motivation
- work in the background
- voice acting
- the ability to keep your progress in the cloud
- until the end of September without advertising and internal purchases
Coming soon:
- calculation of distance, speed (gps)
- achievements and awards",[]
com.sixpack.sixpackabs.homeworkout,Six Pack in 30 Days - Abs Workout,HEALTH_AND_FITNESS,"1,000+",4.5,"Six Pack in 30 Days - Abs Workout
Best way to get
six pack Abs in 30 days.
Take a few minutes a day to get a flatten belly with our workout at home. No equipment needed, just use your bodyweight to workout at home.
Challenge yourself to get a
Fat Burn Pocket Workout
by following our abs workouts fitness routines!
Download our
six pack in 30 days
Challenge and receive all the instructions you need to follow in order to have 6 packs body after 30 days of focus training.
We know that our abs challenge is totally doable if you stick to our workout calendar and fitness routines that we provide for you in this
Six Pack in 30 Days - Abs Workout Lose Belly fat
. So, no more excuses.
Download our
Six Pack At Home
Workoutand start doing all the abs exercise to get the
six pack abs
you always wants!
30 Days of Workout Routines
Amazing results will be achieved earlier once you set a clear goal. 6 Pack Abs - Abs Workout helps you set exercise goals by providing systematic and scientific 30-day workout routines. All exercises are free and they can help you burn belly fat as well as tone your abs.
Exercise intensity increases gradually, so you can easily make exercising a daily habit.
Workout Plan with Different Levels
Lose Belly Fat
, Rock Hard Abs and Six Pack Abs - these 3 levels of workout plans help you lose belly fat and build abdominal muscles step by step. Whether you are a beginner or a pro, you can find workouts that are suitable for you. Different exercises are prepared every day to keep it fresh and exciting.
*** Six Pack in 30 Days - Abs Workout Lose Belly fat App Features :- ***
*30-day workout routines for six pack abs and a stronger body
*Amazing training for weight management and muscle building
*Exercise intensity increases step by step
*Customize your workout reminders
*Records training progress automatically
*Suitable for everyone, beginners, pro, men, women, teens and seniors
*** Keyword :- ***
six pack Abs Workout, Six Pack Home Workout, 30 Days Abs Workout Challenge, Six Pack Abs Exercise – 30 Days Abdominal Workout",[]
com.soultime.app,Soultime Christian meditation & mindfulness,HEALTH_AND_FITNESS,"5,000+",4.7,"Soultime is your go-to
christian meditation
app for daily meditations, relaxation and anxiety relief.
The Soultime app offers a full suite of innovative tools to bring more clarity and contentment to your life in just a few minutes every day. Soultime is about finding true rest for your soul. Deeper than mindfulness, Soultime offers a style of meditation that touches not just your mind but your heart and soul. The Soultime app brings the tradition of Christian meditation up to date in a beautiful, modern, emotionally aware app.
The Soultime meditation app is great for beginners, but also includes many programs for both intermediate and advanced users.
WHAT YOU’LL GET
- Themed meditations in under ten minutes from experts like Danny Silk on subjects like:
- Reducing Anxiety and Stress
- Better Sleep
- Becoming a Powerful Person
- Getting over an Ex
- Forgiveness and Emotional Clarity
- Overcoming Disappointment
A Sophisticated Recommendation Engine Delivering Personalised Meditations Tailored to Your Needs and Interests, for both beginners through to advanced.
Our proprietary check-up tool lets you figure out what’s going on inside you both spiritually and emotionally
A Full Range of Modern and Classical Meditational Music to play to while listening to meditations, or on their own as you drift off to sleep
A Daily Check-in with meditation suggestions tailored to your mood and personality + streaks
Your own in-app journal to help you record your thoughts as you meditate.
A Complete Bible plus beautiful meditational readings
Track your progress and time spent meditating
Subscription pricing and terms:
Soultime offers auto-renewing monthly and annual subscription options.
Your Soultime subscription will automatically renew at the end of each term and your credit card will be charged through your Play market account. You can turn off auto-renew at any time from your Play market account settings but refunds will not be provided for any unused portion of the term.
Soultime also offers a Lifetime subscription which is paid for by a one-off upfront payment with unlimited access to the Soultime content forever.",[]
com.specialtysystems.ocparks,Ocean County NJ Parks and Recreation,HEALTH_AND_FITNESS,5+,,"Ocean County Parks and Recreation offers a wide variety of outdoor activities, special events and educational programs in 27 parks, 2 golf courses, nature centers and conservation areas. With over 4000 acres of preserved and well maintained land you can enjoy hiking, biking, swimming, canoeing, fishing, ball fields, tennis courts, spray park, playgrounds and so much more. With parks from Point Pleasant Beach to Tuckerton you’re sure to find an adventure near you. See for yourself everything we have to offer by exploring our App.",[]
com.squats.fittr,"Fittr - Anytime, Anywhere",HEALTH_AND_FITNESS,"10,000+",4.7,"FITTR is a smart app from SQUATS which is the leading fitness and wellness platform.
Use Fittr to stay fit and stay in touch with people with similar interests and goals.
*Get Automated nutrition chart to help you get started
*Create nutrition charts and track your everyday intake
*Track your progress and individual body metrics in a graphical manner
*Enrol with a coach to help you pursue your fitness goals better
*Connect with people, ask queries, share transformations, recipes, workouts
*Get cutting edge information on fitness and nutrition, articles, researches to stay on track
*Participate in challenges","[{""rating"": ""40"", ""review-text"": ""  Not working with mi Xiaomi MI4 ....Just stuck on Get started .....Please resolve this issue....Thank you....   Full Review   ""}, {""rating"": ""80"", ""review-text"": ""  Good app... But while creating diet plan facing an error... hope it will be fixed soon... great work SQUATS team   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Best app on nutrition and fitness. Many myth busters and research based programs. Great mentors and freely available diet charts and recipes. Loving it completely. Thank you Fittr   Full Review   ""}, {""rating"": ""80"", ""review-text"": ""  It is a great step in fitness world.since it is just first release it is expected to have few glitches and for which team is working pretty actively to fix those. Hats off to the team to pull this off   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Great App Got my diet chart for free according to my goal There were some issues on first day of release ... But now everything is smooth.   Full Review   ""}, {""rating"": ""80"", ""review-text"": ""  One of the best app. It gives a free diet chart based on the inputs we provide which is very effective and also have best mentors with whom we can enroll and start our transformation.   Full Review   ""}, {""rating"": ""60"", ""review-text"": ""  This app has useful information but found difficult to use..it is not easy to find things.   Full Review   ""}, {""rating"": ""80"", ""review-text"": ""  App could be Better for such amazing group of people, awesome concept wont be utilize in efficient way. Lot more we are expecting, may be updates will add sone more charm   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  One of the best app by Team Squats thank you for your efforts and providing all valuable information in correct way all the best God bless you a lot TEAM SQUATS   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  After years of hardwork Finally the wait is over. The best fitness app for those who looking for better n healthy life style.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Great app for Fitness enthusiast..Suggested diet chart is an innovative concept. Thanks a lot JC and SQUATS for such a wonderful app.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  It's amazing to see a free coaching type thing now becoming huge success ....great thinking   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Amazing app. Need few changes. There should be a search option in find people to follow section.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  One of the bestest app from the bestest people. It's simply awesome and helps you to achieve your fitness goals..in love with it.   Full Review   ""}, {""rating"": ""20"", ""review-text"": ""  Something went wrong...everywhere   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Thanks for launch this great app with latest technic which we can do whatever we want according to the fitness goals.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Finally.. The most awaited app launched.. Thank you.. JC Sir and all the Mentors ! \u00f0\u009f\u0099\u008f\u00e2\u0098\u00ba\u00ef\u00b8\u008f   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Amazing App... waiting from long time. Finally came.... Will test and Give further review   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Awesome app from awesome team.. Keeps motivated to reach your goals. Great work squats team\u00f0\u009f\u0098\u0080\u00f0\u009f\u0098\u0080\u00f0\u009f\u0091\u008d\u00f0\u009f\u008f\u00bb\u00f0\u009f\u0091\u008d\u00f0\u009f\u008f\u00bb   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  I was waiting since so long for the Android version..thanks JC...keep up the good work!!!   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Thank you JC sir and entire SQUATS team   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  It is By SQUATS its already sorted.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Loved the app. Using this to track my diet is so helpful and convenient. Would definitely recommend it.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Before downloading giving feedback. I know JC rocked and this App also will.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  The best app for fitness   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Squats is the best thing that has happened to me   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Best fitness community app to stay in touch with your fitness goals and with your friends and coaches.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Can anyone ask for more after this!!??? Nope.. U hv everything.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Was eagerly waiting for this app. Gr8 work JC n team Squats.   Full Review   ""}, {""rating"": ""20"", ""review-text"": ""  Too many bugs   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Waited for it so long. Thanks to Team SQUATS and Team FittrApp. Great work. #hi5   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  One for all,all for one.awsm app   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Best Scientific Fitness App..!! Kudos to the team for launching the same.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Thanks a lot jc sir..   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Fittr is a revolution. One place for all your nutrition & fitness need.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Just need to fix some bugs otherwise loved this app   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Diet chart and tracking system is better than other apps   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Great App for fitness industry .. Great work and job to entire SQUATS teams..   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  Best fitness app ever made. Big cheers to team.   Full Review   ""}, {""rating"": ""100"", ""review-text"": ""  It's a good initiative by JC and his team!!   Full Review   ""}]"
com.stretches.lowerbackpainexercises,Lower Back Pain Exercises,HEALTH_AND_FITNESS,100+,5.0,"Exercise is the best way to treat back pain ( lumbago) that one of the two people suffers from. In our practice, exercises are shown for those with chronic low back pain and for those with herniated disc. In addition, in daily life, the wrong movements for waist health are shown along with the correct movements.
Download our application now and do it by looking at the exercises that we regularly show for 5 minutes every day. In about 10 days you will experience all your pain and you will feel healthier and stronger. You're going to be mad at yourself for having so much back pain in vain.In our practice, movements for sciatica, yoga for back pain, lumbar exercises, lumbar exercises, back pain and sciatica treatment are described with pictures.
all of these exercises that we show in our practice are general low back pain movements. You should consult a doctor about your serious hernia.
waist hernia exercises
lower back pain exercises
waist workout
lumbago",[]
com.taskhuman.insights,TaskHuman: Video Chat Coaching on Health & Fitness,HEALTH_AND_FITNESS,10+,,"Some things in life - especially tough, challenging tasks - are best accomplished with live human guidance. Instantly connect with a community of amazing, experienced, and vetted Providers who can help you accomplish your goals with one-on-one personalized coaching and support through video chats on the TaskHuman app.
Now piloting in beta in more than a hundred Healthy Living categories including: Weight loss, Diet and Nutrition, Motivation, Accountability and Goal setting, Mindfulness,Meditation and Wellness, Strength and Weight Training, and Yoga.
You can work on broad goals like losing weight, eating better, feeling less stressed and more motivated, or video chat with specialists who can help with specific challenges like pregnancy nutrition, detoxing your body with wholesome food choices, or dealing with chronic pain management.
HOW IT WORKS
Tap the video button to immediately connect with a vetted Provider. Free 7 min video chats are a fast, risk-free way to find Providers who fit your personality and goals
Select the one for you. Not a fit? Hang up and tap again to reach a different Provider. Repeat as needed for free until you find the perfect match
Use Calls & Favorites to view past calls and easily reconnect and video chat with Providers for longer sessions. Schedule FREE calls for up to 60 minutes for each session during our beta.
Accomplish your Goals! Decide, do, and be done. There’s no better way to tackle tough tasks and challenges than with live human guidance.
BECOME A PROVIDER
We bring you leads, track your time and earnings, and enable safe, secure communications with callers. You focus on what you do best - your craft. We’re accepting a small number of new providers to be part of our beta launch in healthy living categories. For more information visit: https://www.taskhuman.com",[]
